Biography,DateOfBirth,FirstName,Nationality,Role,SecondName
,31 August 1984,Raheem,Egypt,SoundEngineer,sameh
,NULL,Saad,Egypt,Actor,El Moukhtar
,NULL,Hussien,Egypt,Cinematographer,Asar
,13 June 1987,Samia,Tunisia,Actor,Al Tarabulsi (Samia Trabelsi)
,12 September 1974,Amr,Egypt,Actor,Al Qadi
,27 December 1958,Aida,Egypt,Actor,Fahmy
"محمد كامل - ممثل شاب من مواليد فبراير ١٩٧٩
 خريج كلية تجارة (قسم اللغة الانجليزية) جامعة عين شمس دفعة سنة ٢٠٠٠
بدأ مشواره في مجال التمثيل سنة ٢٠١٣ عن طريق الالتحاق بورشة إعداد الممثل مع الدكتور محمد عبد الهادي ثم التحق بعدها بورشة تدريب مع المخرجة الامريكيه جوفي لورين في Cairo", 5 February 1979,Mohamed,Egypt,Actor,Kamel
, 1 January 1981,Ahmed,Egypt,Writer,Ashour
,12 July 1988,Mahmoud,Egypt,Producer,Adel
,NULL,Abd,Syria,Cinematographer,al-Qadir Al-Atrash
"Ashraf Meslehi began his involvement in cinema by running cinema venues belonging to Misr International Films company that falls under the control of Youssef Chahine and producer Gaby Khoury. Ashraf presently manages more than one cinema chain which include Galaxy, City Stars,",23 April 1974,Ashraf,Egypt,Actor,Meslehi
,31 May 1945,Rainer,Germany,null,Werner Fassbinder
,NULL,Reem,null,Director,Saleh
"Ahmed Abdalla Mahmoud is an Egyptian actor. He started his professional career as a singer, then moved to acting in 2005 following the death of his father. He appeared in supporting roles in films including “Cabaret”, “Elfarah” (The Wedding) and “Hadeed”, and television series",NULL,Ahmed,Egypt,Actor,Abdallah Mahmoud
,NULL,Islam,null,Editor,Abdullah
, 1 January 1965,Hassan,Egypt,Actor,Abdulfattah
,NULL,هشام,Egypt,MusicComposer,طه
,28 November 1962,عصام,Egypt,Producer,طنطاوي
,NULL,Refaat,Egypt,CostumeDesigner,Abdulhakeem
, 6 November 1979,Abdul,Egypt,Director,Aziz Hashad
,14 August 1974,Osama,Egypt,Cinematographer,Barakat
"Mahmoud Hussein El Guindi was born in (the town of Abou Al Mattamir), Al Beheira governorate. (He has nine siblings).
(Mahmoud was enrolled in a vocational school where he trained as a (tailor)). After graduating, he worked at a factory. 
Thereafter, Mahmoud was admitted to the,[أزمة قلبية]",24 February 1945,Mahmoud,Egypt,Actor,El Gendy
, 3 January 1961,Ismail,Egypt,Actor,Farghaly
,NULL,Sofia,Egypt,Actor,
, 9 January 1979,Hamada,Egypt,Actor,Barakat
,NULL,Ehsan,Egypt,Actor,Al Turk
, 9 December 1982,Amr,Egypt,Actor,Abd Al-Aziz
"Said Tarabik is an Egyptian actor. He was born in Cairo in 1941. He began his artistic career at the end of the 1960s, working in theatre, television and cinema. Tarabik connected with actor Adel Imam when the two worked on  several films and plays together, the most notable of,[صراع مع المرض]",17 April 1941,Saeed,Egypt,Actor,Tarabeek
,NULL,Tasnim,Egypt,Actor,Nawar
,NULL,خالد,Egypt,Actor,يونس
,23 March 1978,Nader,Egypt,Actor,Hassan
,NULL,Hany,Egypt,Actor,Al-Adawy
,NULL,Farid,Egypt,Actor,Al Noqrashi
"Amr Ramzy is an Egyptian actor and television presenter. He was born in 1981 in Mansoura, and studied law at the University of Mansoura. He started his artistic career by joining an acting troupe, then worked as an assistant director in the satellite channel OTV. He rose to fame",17 July 1981,Amr,Egypt,Actor,Ramzy
,NULL,Samer,Egypt,Actor,Elminyawi
"Ramy Gheit is an Egyptian actor and assistant director. He was born in 1979. He worked as an assistant director in numerous films, and also worked as an actor in several supporting roles that were exclusively comic, including roles in the films “Dokkan Shehata” (Shehata's", 9 July 1979,Ramy,Egypt,Actor,Gheit
"Egyptian actor Abdullah Meshref was born in 1942 and graduated from the High Institute of Dramatic Arts in 1968. He joined the Vanguard Theatre immediately following graduation, working with Mohammed Sabhy in his theatre troupe and appearing with him in several plays ",15 February 1942,Abdulla,Egypt,Actor,Meshref
Samar Ahmed Abd El Ghaffar was born in Alexandria and moved to Cairo when she was 4-years-old. She's the sister of the Egyptian actress Wafaa Amer. She studied Acting and directing in Cairo and worked as a model which benefited her to overcome her fear of the camera. Her firs,22 November 1986,Ayten,Egypt,Actor,Amer
"Ahmed Fathy is an Egyptian actor. He graduated from the theater department of the Faculty of Arts in Helwan. Following his graduation, he landed roles in many theatrical plays, including “Ya Msafer Wahdak” (You Who's Travelling Alone), “El Shabaka” (The Web), and “Al Eskafy",29 April 1978,Ahmed,Egypt,Actor,Fathy
"Horeya Farghaly is an Egyptian actress who was born in the United Emirates in 1977. She studied business management in the U.K, and started her acting career in 2010 with her appearance in the Khaled Youssef film “Kalemny Shokran” (Please Call Me). She then joined the Marwa",18 October 1976,Horeya,Egypt,Actor,Farghaly
Hanan Hassan Mohamed A’bd Al Kareem was born in Cairo. She studied at the Ballet Institute and while performing in a production of “Macbeth” she was noticed by director Kheiry Bushara who nominated her for a role in the film title “Raghba Muttawahisha” (“Monstrous Desire”). Hanan, 7 March 1975,Hanan,Egypt,Actor,Turk
,NULL,Mohamed,Egypt,GraphicDesigner,Abd Elghany
,NULL,محمود,Egypt,Editor,سمير
,NULL,Ahmed,Egypt,ArtDirector,Fayez
"Hala Fakher Mohamed Fakher began her career in entertainment as a child when she partook in the cinematic production “Lann Abky Abadan”. 
Hala studied at (Saint Claire) school. (Following her graduation, she participated in theatrical and television performances where she stood", 8 June 1946,Hala,Egypt,Actor,Fakher
"Lotfy Labib, born on August 18, 1947, is an Egyptian stage, television and film actor. He also worked as announcer at one point. Despite having graduated from the Institute of Theatrical Arts in 1970, Labib's career was delayed for a whole decade. First he was drafted in the",18 August 1947,Lotfy,Egypt,Actor,Labib
,NULL,Mohamed,Egypt,Producer,Ahmed El Sobky
"During university, he created a production company with his friends called “Tamr Hendi” that produced movies that ridiculed famous Egyptian movies. Most famous was “Men who do not know the impossible” 
This work attracted the attention of Mohamed Hefzy who at the time was", 4 July 1980,Chico,Egypt,Actor,
"An actor and a script writer, graduated from School of Engineering Cairo University. During university, he created a production company with his friends called “Tamr Hendi” that produced movies that ridiculed famous Egyptian movies. Most famous was “Men who do not know the",26 April 1980,Hesham,Egypt,Actor,Maged
,18 August 1975,Amr,Egypt,PublicRelations,Assem
,NULL,Remon,Egypt,Producer,ramsis
,NULL,Mohamed,Egypt,Actor,Saad
,NULL,Miral,Egypt,Actor,
"Ahmed Al Sabbky is an Egyptian producer, most of his films have been quite successful at the box office despite being subject to attacks from critics. Al Sabbky states that his works seek to engage the working classes from which he originates, thus he adds that he knows how to",14 September 1957,Ahmed,Egypt,Producer,El Sobky
"Egyptian actor, Bayoumi Fouad was born in Cairo on June 16, 1965. He was part of the first class at the Center for Creative Arts and graduated from the Directing Department. Fouad got his start playing supporting roles in films ",16 June 1965,Bayyumy,Egypt,Actor,Fouad
,NULL,Ahmed,Egypt,Actor,al hosieny
,NULL,Ismail,Egypt,Actor,Sharaf
,12 June 1972,Yasser,Egypt,Actor,Al Zankalouni
"Samir Youssif Ghanem graduated from the faculty of agriculture in 1967. He became friends with George Seydhom and al-Deyf Ahmed and the three formed “Adwaa al-Masrah” (Theater Lights), which was a singing and acting troupe. Ghanem had outstanding stage performances in the",15 January 1937,Samir,Egypt,Actor,Ghanem
,NULL,mohamed,Egypt,ArtDirector,morad
,NULL,Jasmine,Egypt,Director,Amr Arafa
"Eham Lamei is an Egyptian director and screenwriter. He graduated from the faculty of mass-com in 1987, and from the directing department in the High Institute of Cinema in 1995. He then went on to direct a number of short films. He then wrote the script for his first feature len",25 November 1966,Ehab,Egypt,Director,Lamei
Hassan is the son of renowned Egyptian actor Nabil el-Raddad and his full name is Hassan Nabil el-Raddad. The actor was born in the city of Port Said and his debut appearance came about as a minor role in the title “Kheyanna Mashrou’a” (“A Legitimate Betrayal”). Thereafter he, 2 January 1984,Hasan,Egypt,Actor,Al-Raddad
Mohamed Lotfy is an Egyptian actor who was born in Alexandria in 1968. He graduated from the acting division of the Institute of Cinema in Cairo. Lofty began his acting career in cinema with the film “Caberia” (1990) starring alongside Ahmed Zaki. He has since appeared in many fi,17 October 1968,Mohamed,Egypt,Actor,Lotfy
,NULL,محمد,Egypt,Actor,عبدالحي
,NULL,أحمد,Egypt,Actor,حسنين
,NULL,Nour,Egypt,Actor,Al-Maghraby
,NULL,Eman,Egypt,Actor,Salama
, 2 October 1967,Lashina,Egypt,Actor,Lashin
,NULL,صلاح,Egypt,Actor,المصري
,NULL,Ramy,Egypt,Actor,Ramzy
,NULL,Ahmad,Egypt,Actor,Abu Trika
,NULL,Mohamed,Egypt,Actor,Diab
,NULL,Mahmoud,Egypt,Actor,Saeid
,NULL,Qadry,Egypt,Actor,Abu El Hool
"Monir Makram is an Egyptian actor who presented very small roles in the early nineties. After attracting attention by presenting Ramadan's program ""Edini Aklak"" he participated with Adel Imam starring the film ""The Danish Experience"". Afterwards he filmed many other movies.", 1 January 1962,Muneer,Egypt,Actor,Makram
,NULL,Sanaa,Egypt,Actor,Fouad
,NULL,Hassan,Egypt,Actor,Tawfik
,NULL,Dalia,Egypt,Actor,Kamel
,NULL,Amani,Egypt,Actor,Mohamed
,16 March 1980,Karema,Egypt,Actor,Abdalah
"Moataz is an Egyptian media figure. He is the son of artist Karima Mokhtar and director Nour el-Demerdash. Moataz travelled to the United States where he spent a while studying, however he later got the opportunity to work in British television and he moved to London before",NULL,Moataz,Egypt,Other,Al-Demerdash
,14 August 1976,Maya,Lebanon,Other,Nasry
,NULL,Zainab,Egypt,Actor,Abdulwahhab
,NULL,Mostafa,Egypt,Actor,Abo Seria
