Duration,Name,Rating,Total_Revenue,discription,genre,release_Date
NULL,El Feel El Azraq 3,NULL,Null,NULL,Thriller,NULL
NULL,دماغ عالية,NULL,Null,NULL,Comedy,NULL
NULL,Kira Wa El Gen,NULL,Null,"The reality of Egyptian society during the period of the British occupation with the outbreak of the revolution of 1919, which unties the fate of Ahmed Abdel-Hayy Kira and Abdel-Qader El Gen who are",Drama, 2 May 2022
105 minutes,Daght A'aly,+12,Null,"When a young electrical engineer accidentally gets electrocuted, he becomes a source of electric power for his entire neighborhood. As he falls in love with a girl whom he electrocuted, the government",Comedy, 3 April 2019
16 minutes,Juzur Tarabulus,All Ages,Null,NULL,Documentary,NULL
NULL,Pale Colors,NULL,Null,NULL,NULL,24 December 2019
NULL,Contact,NULL,Null,NULL,Short,10 December 2018
91 minutes,The American Game,NULL,Null,"As a young couple faces many financial and social difficulties that impede their marriage, the owner of the company where they both work unexpectedly makes them a tempting proposal that could help",Comedy,27 March 2019
90 minutes,Khat Al-Mout,+16,Null,"A story about what is happening in Egypt and the Middle East in the wake of the revolutions of 2011, as well as the constant and ongoing struggle of the Masonic organizations and the countries",Action,27 March 2019
110 minutes,Al-Khawaga's Dilemma,All Ages,9715957,"The movie revolves around the ambitious middle-class young man Faris, who is in love with the daughter of an influential businessman. The duo gets into many mishaps, as Faris sets out to avenge the",Drama, 6 January 2018
93 minutes,El-Diesel,+12,Null,"Stuntman Badr the Diesel lives in a poor neighborhood. He meets Donia El- Sayad, a famous movie star, whose assistant, Afaf, is Badr’s Fiancée. When Afaf gets killed, he decides to seek revenge and",Crime,21 August 2018
122 minutes,Karma,+12,Null,"The film covers two parallel stories, one about a wealthy Muslim called Adham who is extremely classist, and the other about a poor Christian named Watany who dreams of finding a treasure and getting",Drama,16 June 2018
98 minutes,Bekia,+12,2567562,"An international organization tries to kidnap Mustafa (Mohammed Ragab), an Egyptian cancer and AIDS medicine researcher, who could save humanity from these diseases, which leads him to escaping and",Comedy,19 August 2018
90 minutes,Etla'ooli Barra,All Ages,3021688,"A young man living in a local area, one day finds a book called "" Let's Take This Outside"" about how each person has many personalities inside of him, and when he reads it, a number of",Comedy,17 January 2018
95 minutes,122,+18,Null,"As love blossoms between a man from a simple background and a deaf and mute woman, they find themselves drawn into a world of crime. When they are injured in a terrible accident, they are rushed to",Thriller, 2 January 2019
97 minutes,Eyar Nari,+16,Null,"After a clash between demonstrators and security forces, a body from the clash is returned to the morgue.  Forensic doctor, Yassin, writes his medical report stating that the victim was shot at close",Crime, 3 October 2018
72 minutes,Midnight Attack,NULL,Null,"The story of a gang that abducts two people. As the events unfold, a number of ironic situations play out between the gang members and their victims. ",Action, 1 January 2012
85 minutes,Facebook,NULL,Null,"The film depicts how modern life and technology have changed our lives for the worst, detaching people from reality and confining them into a life of pretense and a virtual 'unreality'. ",Drama, 1 January 2012
53 minutes,erwst albahr,NULL,Null,"A social drama that depicts the difference in thinking between parents and their children and the restrictions imposed on the latter, through the story of young Laila who gets forcibly married to a",NULL, 5 December 2012
NULL,صعيدي في الجامعة الأمريكية 2,NULL,Null,NULL,Comedy,NULL
NULL,تاج الجزيرة,NULL,Null,NULL,NULL,NULL
NULL,White Chocolate,NULL,Null,NULL,Comedy,NULL
NULL,The Secret History Of Kawthar,NULL,Null,NULL,Drama,NULL
NULL,Baraet Raya We Sakina,NULL,Null,NULL,NULL,NULL
10 minutes,Here it's not over yet,NULL,Null,NULL,Short,NULL
NULL,my beautiful country,NULL,Null,NULL,NULL,NULL
NULL,كاريكاتير الثورة,NULL,Null,NULL,NULL,NULL
NULL,جارة القمر,NULL,Null,NULL,NULL,NULL
98 minutes,Be3elm El Wosol,All Ages,Null,"Hala has just become a mother, she suffers from depression after the imprisonment of her husband who she's trying to get him out, and her fear of abandonment since her father died, until she finds",Drama,26 February 2020
NULL,Lailet Hob,NULL,Null,NULL,Thriller,NULL
20 minutes,Sunday at Five,NULL,Null,"The 30-year-old Hadil decides to take a risk and go to audition for Khairy Beshara, hoping to land a role in his new film, only to find herself at a crossroads as she goes through the audition.",Drama,15 March 2020
23 minutes,Habib,NULL,Null,Habib is a barber in his late sixties who works in his own home barbershop. One day he decides to break his daily routine and go through an adventure to delight his wife. Habib seems to be in,Short,29 October 2019
80 minutes,Enta Eih,NULL,Null,"A comedy drama about an alien who comes to earth and asks people many questions in an innocent way, during that journey he makes friends with good people and enemies with bad ones.",Comedy,16 October 2019
16 minutes,Amin,NULL,Null,The Ministry of Culture announces the discovery of a rare version of an incomplete film by legendry director Shadi Abdel Salam. Amin seeks to obtain the copy before it falls into the hands of a,Short,NULL
30 minutes,Complex,NULL,Null,NULL,Short,NULL
55 minutes,7th Century Before Birth,NULL,Null,NULL,Drama, 6 March 2019
126 minutes,Khayaal Ma'atah,All Ages,Null,"The story revolves around a grandfather who stole a rare masterpiece belonging to the late singer (Umm Kulthum) in his youth. Years later, he finds himself chased by those who want to have this piece,",Comedy,12 August 2019
NULL,Alfunduq alghamid,NULL,Null,NULL,Thriller,NULL
75 minutes,Sound,NULL,Null,NULL,NULL,NULL
60 minutes,The Name Caller,NULL,Null,NULL,Horror,NULL
NULL,Ramses Rah Fen,NULL,Null,"A documentary that follows the transfer of the statue of Ramses II from Ramses Square to the Grand Egyptian Museum, shedding light on the history of various presidents and kings, including their",Documentary,17 October 2020
81 minutes,Anta Habiby We Bas,+12,Null,"A comedy about famous artist Zico, who's forced to marry (Bossy), as their grandfather stipulated in his will that they have to get married to have an inheritance of five million pounds , and as",Comedy,10 August 2019
20 minutes,The Trap,NULL,Null,NULL,Short,NULL
NULL,The Profession,NULL,Null,NULL,Drama,NULL
19 minutes,The Hook-up,NULL,Null,NULL,Short,NULL
NULL,Devil Hymns,NULL,Null,NULL,Action,NULL
76 minutes,Afandina,NULL,Null,NULL,Drama,NULL
110 minutes,Lama Benetweled,+16,Null,The story of three different ,Drama,23 October 2019
79 minutes,Show Day,All Ages,Null,The film follows a major scam operation that takes place in one of the major theaters.,Thriller,10 April 2019
98 minutes,Estedaa Wale Amr,All Ages,448159,"Amr's school principal summons his guardian to address the problems he keeps causing. His father, Ragheb, has problems with his wife Sarah, who wants to relive the early days of their love story",Romance,11 December 2019
92 minutes,Sab'e Alboromba,All Ages,35082656,"Omar marries Nesma despite her father's objection. After the wedding ceremony, they're attacked by unknown men. During her escape, Nesma is injured.  Awakening from a coma, she refuses to see",Comedy, 4 June 2019
130 minutes,El Feel El Azraq 2,+8,Null,"Five years after the events of the first part, Dr. Yehia marries Lobna and is assigned to a new case from the 8-West Women's Ward. He finds that someone is trying to manipulate his life as well as",Crime,25 July 2019
10 minutes,The Demon,NULL,Null,"Omar is a timid young man who catches feelings for Passant, but his timidness poses a stumbling block in the way of him confessing his love. Until one day, a supernatural creature emerges and promises",Comedy,16 February 2019
NULL,Ahlaa men Eltalaq,NULL,Null,NULL,Fantasy,NULL
5 minutes,Pasta,NULL,Null,NULL,NULL,NULL
NULL,روكسى,NULL,Null,NULL,NULL,NULL
99 minutes,The Guest,+16,Null,A young man is invited for dinner with the family of Dr. Yehia Hussein Al-Tijani at the invitation of Yehia's lovestruck daughter. But Yehia is under a lot of pressure ever since his bold opinions,Drama, 8 January 2019
110 minutes,Qarmat Bitamrmat,All Ages,Null,"Qarmouti builds a graveyard for his ancestors, and makes it a paid tourists attraction; this causes him lots of problems with the government. Meantime, a journalist videos an antiquities smuggling",Comedy,16 January 2019
105 minutes,Nadi El-Regal El-Serri,+12,Null,Adham helps a group of his friends join a getaway club for men called “The Secret Men’s Club”. But Adham's own marriage is in trouble as his wife of ten years starts following him to find out what,Comedy,23 January 2019
NULL,Watch out for the next,NULL,Null,NULL,Thriller,NULL
125 minutes,Qesat Hob,All Ages,11159600,"Youssef, a successful engineer, loses his sight in a terrible accident, and he crosses paths with Gamila. As the two start developing feelings for one another, their love is tested. ",Romance,13 February 2019
110 minutes,Eish Hayatak,All Ages,Null,"Ibrahim is a creative advertising professional who is extremely boring and reserved. As he embarks on a journey to win over his son who seems to prefer his stepfather, Ibrahim seizes the chance when",Romance,13 February 2019
150 minutes,El-Mamarr,All Ages,Null,"After the Six-Day War in June, 1967, Egypt lost Sinai to Israel. The Egyptian military then confronted the need to re-build its strategic, infrastructure and manpower abilities.  The War of Attrition",Drama, 4 June 2019
